% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,1. Apoyo al Adulto Mayor,98%,Oficina de protección de derechos del adulto mayor,"Implementar un programa de apoyo integral a las personas mayores, que promueva el envejecimiento activo, la integración y participación comunitaria y la protección de derechos al adulto mayor, mejorando su calidad de vida.",90%,"En 2023 se crea el Programa Personas Mayores, implementandose en los Centros Comunitarios Zona Norte y Zona Sur. Durante el año se llevaron 19 casos derivados desde Tribunales de Familia, se realizaron 82 visitas domiciliarias para prevención; requerimientos de salud y apoyo psicosocial, se gestionaron 27 ayudas sociales a personas mayores. Además se realizaron 66 talleres donde participaron más de 600 personas, 7 jornadas de paseos donde participan 2.333 vecinos/as, y 4.157 atenciones podológicas.",Diseño del Programa y establecimiento de metodología y recursos,20%,20%,20%,1,1.1,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Oficina de protección de derechos del adulto mayor,"Implementar un programa de apoyo integral a las personas mayores, que promueva el envejecimiento activo, la integración y participación comunitaria y la protección de derechos al adulto mayor, mejorando su calidad de vida.",90%,"En 2023 se crea el Programa Personas Mayores, implementandose en los Centros Comunitarios Zona Norte y Zona Sur. Durante el año se llevaron 19 casos derivados desde Tribunales de Familia, se realizaron 82 visitas domiciliarias para prevención; requerimientos de salud y apoyo psicosocial, se gestionaron 27 ayudas sociales a personas mayores. Además se realizaron 66 talleres donde participaron más de 600 personas, 7 jornadas de paseos donde participan 2.333 vecinos/as, y 4.157 atenciones podológicas.",Definición de líneas de acción de intervención,20%,20%,40%,,1.2,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Oficina de protección de derechos del adulto mayor,"Implementar un programa de apoyo integral a las personas mayores, que promueva el envejecimiento activo, la integración y participación comunitaria y la protección de derechos al adulto mayor, mejorando su calidad de vida.",90%,"En 2023 se crea el Programa Personas Mayores, implementandose en los Centros Comunitarios Zona Norte y Zona Sur. Durante el año se llevaron 19 casos derivados desde Tribunales de Familia, se realizaron 82 visitas domiciliarias para prevención; requerimientos de salud y apoyo psicosocial, se gestionaron 27 ayudas sociales a personas mayores. Además se realizaron 66 talleres donde participaron más de 600 personas, 7 jornadas de paseos donde participan 2.333 vecinos/as, y 4.157 atenciones podológicas.",Desarrollar plan de acción para la implementación,20%,20%,60%,,1.3,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Oficina de protección de derechos del adulto mayor,"Implementar un programa de apoyo integral a las personas mayores, que promueva el envejecimiento activo, la integración y participación comunitaria y la protección de derechos al adulto mayor, mejorando su calidad de vida.",90%,"En 2023 se crea el Programa Personas Mayores, implementandose en los Centros Comunitarios Zona Norte y Zona Sur. Durante el año se llevaron 19 casos derivados desde Tribunales de Familia, se realizaron 82 visitas domiciliarias para prevención; requerimientos de salud y apoyo psicosocial, se gestionaron 27 ayudas sociales a personas mayores. Además se realizaron 66 talleres donde participaron más de 600 personas, 7 jornadas de paseos donde participan 2.333 vecinos/as, y 4.157 atenciones podológicas.",Implementación de Programa de Personas Mayores,30%,30%,90%,,1.4,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Oficina de protección de derechos del adulto mayor,"Implementar un programa de apoyo integral a las personas mayores, que promueva el envejecimiento activo, la integración y participación comunitaria y la protección de derechos al adulto mayor, mejorando su calidad de vida.",90%,"En 2023 se crea el Programa Personas Mayores, implementandose en los Centros Comunitarios Zona Norte y Zona Sur. Durante el año se llevaron 19 casos derivados desde Tribunales de Familia, se realizaron 82 visitas domiciliarias para prevención; requerimientos de salud y apoyo psicosocial, se gestionaron 27 ayudas sociales a personas mayores. Además se realizaron 66 talleres donde participaron más de 600 personas, 7 jornadas de paseos donde participan 2.333 vecinos/as, y 4.157 atenciones podológicas.",Evaluación semestral de las atenciones y talleres realizados,10%,0%,90%,,1.5,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Elaboración de Programa Personas Mayores,15%,15%,15%,1,1.6,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Coordinación con Dirección de Salud para determinar protocolos de atención,15%,15%,30%,,1.7,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Convocatoria y selección de personal,10%,10%,40%,,1.8,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Habilitar espacios de atención podológica en los Centros comunitarios,20%,20%,60%,,1.9,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Proceso de difusión e inscripción,10%,10%,70%,,1.10,1,Si,,
